,GHI_Open_Field (W/m2),GHI_Agrivoltaic (W/m2),Temperature_Open_Field (C),Temperature_Agrivoltaic (C),Wind_Speed (m/s),Relative_Humidity (%),Panel_Tilt (degrees)
2022-01-01 00:00:00+00:00,0.0,0.0,7.57,6.37,2.83,70.98,0.0
2022-01-01 01:00:00+00:00,0.0,0.0,7.46,6.26,2.77,71.49,0.0
2022-01-01 02:00:00+00:00,0.0,0.0,7.35,6.1499999999999995,2.71,71.99,0.0
2022-01-01 03:00:00+00:00,0.0,0.0,7.23,6.03,2.65,72.49,0.0
2022-01-01 04:00:00+00:00,0.0,0.0,7.12,5.92,2.59,72.99,0.0
2022-01-01 05:00:00+00:00,0.0,0.0,7.01,5.81,2.53,73.5,0.0
2022-01-01 06:00:00+00:00,0.0,0.0,6.89,5.6899999999999995,2.46,74.0,0.0
2022-01-01 07:00:00+00:00,68.0,68.0,6.78,5.58,2.4,74.5,5.806655773274581
2022-01-01 08:00:00+00:00,221.0,221.0,6.6,5.3999999999999995,2.97,65.85,22.945130828225572
2022-01-01 09:00:00+00:00,339.0,314.0,7.09,5.89,3.38,61.0,55.00000000000001
2022-01-01 10:00:00+00:00,416.0,283.7,7.83,6.63,3.24,58.8,32.73846889314216
2022-01-01 11:00:00+00:00,439.0,278.2,8.49,7.29,3.17,52.6,3.416929043828622
2022-01-01 12:00:00+00:00,408.0,309.44,8.95,7.749999999999999,3.03,48.8,26.872261233722377
2022-01-01 13:00:00+00:00,322.0,322.0,9.17,7.97,2.97,46.95,50.89639098238004
2022-01-01 14:00:00+00:00,194.0,194.0,8.98,7.78,2.83,45.15,28.897462403701144
2022-01-01 15:00:00+00:00,42.0,42.0,8.37,7.169999999999999,2.48,45.0,8.875424266596353
2022-01-01 16:00:00+00:00,0.0,0.0,7.48,6.28,2.62,46.55,0.0
2022-01-01 17:00:00+00:00,0.0,0.0,6.72,5.52,2.9,50.2,0.0
2022-01-01 18:00:00+00:00,0.0,0.0,6.07,4.87,3.17,52.1,0.0
2022-01-01 19:00:00+00:00,0.0,0.0,6.05,4.85,3.24,50.05,0.0
2022-01-01 20:00:00+00:00,0.0,0.0,5.67,4.47,3.17,54.05,0.0
2022-01-01 21:00:00+00:00,0.0,0.0,5.35,4.1499999999999995,3.1,54.05,0.0
2022-01-01 22:00:00+00:00,0.0,0.0,4.98,3.7800000000000002,3.03,58.3,0.0
2022-01-01 23:00:00+00:00,0.0,0.0,4.7,3.5,3.03,60.5,0.0
2022-01-02 00:00:00+00:00,0.0,0.0,4.4,3.2,2.97,62.95,0.0
2022-01-02 01:00:00+00:00,0.0,0.0,4.22,3.0199999999999996,2.76,67.9,0.0
2022-01-02 02:00:00+00:00,0.0,0.0,4.31,3.1099999999999994,2.55,67.9,0.0
2022-01-02 03:00:00+00:00,0.0,0.0,4.19,2.99,2.34,70.6,0.0
2022-01-02 04:00:00+00:00,0.0,0.0,4.02,2.8199999999999994,2.28,70.6,0.0
2022-01-02 05:00:00+00:00,0.0,0.0,3.89,2.6900000000000004,2.21,73.4,0.0
2022-01-02 06:00:00+00:00,0.0,0.0,3.82,2.62,2.14,73.4,0.0
2022-01-02 07:00:00+00:00,51.0,51.0,4.43,3.2299999999999995,2.55,68.0,5.785842617305027
2022-01-02 08:00:00+00:00,135.0,135.0,4.93,3.7299999999999995,2.41,65.55,22.895962945224994
2022-01-02 09:00:00+00:00,87.0,87.0,5.41,4.21,2.41,60.75,55.00000000000001
2022-01-02 10:00:00+00:00,88.0,88.0,6.07,4.87,2.48,54.15,32.873832641258346
2022-01-02 11:00:00+00:00,73.0,73.0,6.6,5.3999999999999995,2.62,52.2,3.653729106954244
2022-01-02 12:00:00+00:00,71.0,71.0,7.28,6.08,2.48,52.2,26.59502261884615
2022-01-02 13:00:00+00:00,83.0,83.0,7.73,6.53,2.34,48.4,50.64994577822636
2022-01-02 14:00:00+00:00,94.0,94.0,7.67,6.47,2.14,48.4,29.326374061888245
2022-01-02 15:00:00+00:00,28.0,28.0,7.39,6.1899999999999995,2.0,50.35,9.08239158331693
2022-01-02 16:00:00+00:00,0.0,0.0,7.03,5.83,2.07,52.2,0.0
2022-01-02 17:00:00+00:00,0.0,0.0,6.76,5.56,2.28,54.3,0.0
2022-01-02 18:00:00+00:00,0.0,0.0,6.28,5.08,2.41,56.3,0.0
2022-01-02 19:00:00+00:00,0.0,0.0,6.09,4.89,2.69,58.55,0.0
2022-01-02 20:00:00+00:00,0.0,0.0,5.68,4.4799999999999995,2.83,60.75,0.0
2022-01-02 21:00:00+00:00,0.0,0.0,5.2,4.0,2.97,63.05,0.0
2022-01-02 22:00:00+00:00,0.0,0.0,5.11,3.91,2.97,65.55,0.0
2022-01-02 23:00:00+00:00,0.0,0.0,4.93,3.7299999999999995,2.83,65.55,0.0
2022-01-03 00:00:00+00:00,0.0,0.0,4.8,3.5999999999999996,2.76,70.7,0.0
2022-01-03 01:00:00+00:00,0.0,0.0,4.87,3.67,2.76,68.1,0.0
2022-01-03 02:00:00+00:00,0.0,0.0,4.85,3.6499999999999995,2.83,68.1,0.0
2022-01-03 03:00:00+00:00,0.0,0.0,4.89,3.6899999999999995,3.03,68.1,0.0
2022-01-03 04:00:00+00:00,0.0,0.0,4.87,3.67,3.03,65.55,0.0
